               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.028005,           0.0080103,                   0,             0.95988,              0.9667,             0.97464,              0.5162,            0.029527,           0.0039881,                   0,              0.0793,              0.0023,              0.0023
                   1,            0.026933,            0.008315,                   0,             0.98616,              0.9798,             0.98813,             0.51801,            0.029148,           0.0039583,                   0,            0.057653,           0.0046535,           0.0046535
                   2,            0.028292,           0.0078306,                   0,             0.95897,              0.9798,             0.98665,             0.48876,            0.028988,           0.0041109,                   0,            0.035959,           0.0069594,           0.0069594
                   3,            0.029159,           0.0080416,                   0,              0.9521,             0.94949,             0.95181,             0.48045,            0.028604,           0.0041084,                   0,            0.014218,           0.0092178,           0.0092178
                   4,            0.033967,           0.0083062,                   0,             0.96002,              0.9697,             0.97951,             0.47572,            0.029981,           0.0040198,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.031411,           0.0082289,                   0,              0.9494,             0.94764,              0.9732,             0.48129,            0.031919,           0.0040768,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.032063,           0.0077764,                   0,             0.98271,             0.93939,             0.98374,             0.51821,            0.029977,           0.0040194,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.032262,           0.0079998,                   0,             0.84508,             0.93673,             0.95778,             0.47937,            0.031092,           0.0040144,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.032264,           0.0083492,                   0,             0.94925,             0.94473,              0.9829,             0.49553,            0.029664,           0.0041652,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.029793,           0.0077294,                   0,             0.97891,             0.93766,             0.97669,              0.4944,            0.030486,           0.0041776,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.029067,           0.0078997,                   0,             0.93784,              0.9697,             0.96939,             0.47922,            0.030803,           0.0043052,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.029048,           0.0077915,                   0,              0.9702,             0.98646,             0.99054,             0.50459,            0.031447,           0.0042548,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.028476,           0.0079999,                   0,             0.95846,              0.9697,             0.98643,             0.53857,            0.028348,           0.0041575,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.029335,           0.0072976,                   0,             0.95663,              0.9596,             0.98121,             0.51869,            0.028405,           0.0040947,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.028753,           0.0076062,                   0,             0.93377,             0.93939,             0.96215,             0.49371,            0.030731,           0.0042261,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.029255,           0.0079519,                   0,             0.96769,              0.9697,             0.97583,             0.51437,            0.032465,           0.0041084,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.02942,           0.0074407,                   0,             0.96826,             0.92444,             0.97038,             0.47224,            0.031966,           0.0041907,                   0,            0.008515,            0.008515,            0.008515
                  17,              0.0279,           0.0080835,                   0,             0.95697,              0.9596,             0.96075,             0.45171,            0.031848,           0.0042371,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029616,           0.0075446,                   0,             0.95709,              0.9798,             0.96822,               0.487,            0.030705,           0.0041667,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.028678,           0.0078663,                   0,             0.95916,             0.94896,             0.96333,             0.47276,            0.032249,           0.0040718,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.026923,           0.0074323,                   0,             0.96575,              0.9596,             0.96093,             0.50315,            0.030651,           0.0037242,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.026912,           0.0070177,                   0,             0.97224,             0.92929,             0.96247,             0.50924,             0.02987,           0.0038306,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.028284,           0.0070218,                   0,             0.92757,             0.88889,             0.90437,             0.45187,            0.030657,             0.00384,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.027334,            0.007369,                   0,             0.94367,             0.94949,             0.94464,             0.46539,            0.030619,           0.0038705,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.027243,           0.0071733,                   0,             0.94025,              0.9798,             0.97328,             0.48171,            0.028486,           0.0037655,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.024262,           0.0068986,                   0,             0.94997,              0.9798,             0.97282,              0.5227,            0.029054,           0.0038652,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.024308,           0.0070349,                   0,             0.94774,              0.9697,             0.97355,             0.51651,            0.029377,           0.0039288,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.025926,           0.0072033,                   0,             0.93822,              0.9596,             0.94748,             0.49037,            0.028491,           0.0038691,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.025091,           0.0077111,                   0,             0.91974,              0.9697,             0.96391,             0.46917,            0.030222,            0.003931,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.023074,            0.006904,                   0,              0.9285,             0.93939,             0.92455,             0.42995,            0.031939,           0.0040019,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.024773,           0.0070619,                   0,             0.96844,             0.93939,             0.97243,             0.46074,            0.029551,           0.0039639,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.02369,           0.0067503,                   0,             0.96863,              0.9596,             0.96773,             0.48327,            0.029479,           0.0039799,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.024577,            0.007114,                   0,             0.94628,              0.9596,             0.96259,             0.47158,            0.029456,           0.0039368,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.023663,           0.0069583,                   0,             0.98957,             0.95874,             0.96868,             0.47388,            0.030141,           0.0038391,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.025504,             0.00677,                   0,             0.88954,             0.90909,             0.85181,             0.42799,            0.031323,           0.0038643,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.023204,           0.0067339,                   0,             0.94562,             0.93939,             0.93418,             0.44282,            0.031895,           0.0040012,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.023667,           0.0066581,                   0,             0.97914,             0.94949,             0.96524,             0.47436,            0.029857,            0.003848,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.023604,           0.0069431,                   0,              0.9407,             0.93939,             0.94288,             0.46031,            0.030405,           0.0039324,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.022067,           0.0062206,                   0,              0.9311,             0.95556,             0.95412,             0.49405,            0.031573,           0.0038896,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.02249,           0.0071873,                   0,             0.95607,              0.9596,             0.96169,             0.47522,            0.030665,           0.0039206,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.022631,           0.0064131,                   0,             0.98852,              0.9697,             0.97507,             0.47397,            0.031203,           0.0038868,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.023698,           0.0067735,                   0,             0.95987,             0.96655,             0.96495,             0.44115,            0.031748,           0.0040045,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.023734,           0.0069536,                   0,             0.93785,             0.93939,              0.9426,              0.4435,            0.032619,           0.0041919,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023105,           0.0064207,                   0,             0.96809,             0.93939,             0.94806,             0.50448,            0.030642,           0.0039324,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022506,            0.006742,                   0,             0.97758,             0.91919,              0.9406,             0.48268,            0.031573,           0.0039413,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.021734,            0.006181,                   0,             0.91909,             0.91791,             0.89363,             0.40959,            0.034264,           0.0040708,                   0,            0.005644,            0.005644,            0.005644
